id,name,type,description
0,Swayambhu,God,
1,Brahma,God,
2,BiratPurush,God,
3,Swayambhuba,Manu,
4,Satarupa,Goddess,Ajonisambhaba
5,Veer,King,
6,Priyabrata,King,
7,Uttanapada,King,
8,Kamya,Queen,
9,Samrat,King,
10,Kukshi,King,
11,Biraat,King,
12,Prabhu,King,
13,Sunreeta,Queen,
14,Dharma,God,
15,Basu,King,
16,Ayushmaan,King,
17,Kirtimaan,King,
18,Dhruba,King,
19,Pulastya,Rishi,
20,Pulaha,Rishi,
21,Angira,Rishi,
22,Atri,Rishi,
23,Kratu,Rishi,
24,Vashishtha,Rishi,
25,Marichi,Rishi,
26,Rudra,God,
27,Sanatkumar,God,
28,Kardam,Prajapati,
29,Shambhu,King,
30,Vabya,King,
31,Shlishti,King,
32,Suchchhaya,Queen,
33,Ripu,King,
34,Ripunjaya,King,
35,Veer,King,
36,Brikal,King,
37,Brikateja,King,
38,Brihati,Queen,
39,Chakshusha,King,
40,Pushkarini,Queen,
41,Veeran,Prajapati,
42,Chaakshusha,Manu,
43,Nadwalaa,Queen,
44,Bairaaj,Prajapati,
45,Kutsa,King,
46,Puru,King,
47,Shatadumnya,King,
48,Tapaswi,King,
49,Satyabaak,King,
50,Kabi,King,
51,Agnistyut,King,
52,Abhimanyu,King,
53,Sudumnya,King,
54,Atiratra,King,
55,Agneyi,Queen,
56,Anga,King,
57,Sumanas,King,
58,Swati,King,
59,Kratu,King,
60,Angiras,King,
61,Gaya,King,
62,Ben,King,
63,Prithu,King,
64,Antardhi,King,
65,Pati,King,
66,Shikhandini,Queen,
67,Habirdhan,King,
68,Dhishanaa,Queen,
69,Agni,God,
70,PrachinBarhi,Prajapati,
71,Shukla,King,
72,Gaya,King,
73,Krishna,King,
74,Braja,King,
75,Ajin,King,
76,Swarga,Entity,
77,Prithibi,Entity,
78,Aakaash,Entity,
79,DashDik,Entity,
80,Kaal,Entity,
81,Mon,Entity,
82,Vak,Entity,
83,Kaam,Entity,
84,Krodh,Entity,
85,Rati,Entity,
86,Vidyut,Entity,
87,Bajra,Entity,
88,Megh,Entity,
89,Vedas,Entity,
90,Savarna,Queen,
91,Samudra,God,
92,Prachetas,God,10 in number
93,Vayu,God,
94,Marishaa,Goddess,
95,Vrikshas,Entity,Briksha Samuha
96,Soma,God,
97,Daksha,Prajapati,
98,Sthabar,Entity,
99,Jangam,Entity,
100,Animals,Animal,
