sourceid,relationid,reltype
0,1,father
1,2,father
2,3,father
3,4,spouse
4,5,father
5,6,father
6,7,father
7,8,spouse
8,9,father
9,10,father
10,11,father
11,12,father
12,13,spouse
13,14,father
14,15,father
0,16,father
16,17,father
17,18,father
18,19,father
19,20,father
0,21,father
21,22,father
22,23,father
23,24,father
24,25,father
0,26,father
26,27,father
27,28,father
28,29,father
29,30,father
30,31,father
31,32,spouse
32,33,father
33,34,father
34,35,father
0,36,father
36,37,father
37,38,spouse
38,39,father
39,40,spouse
40,41,father
41,42,father
42,43,spouse
43,44,father
44,45,father
0,46,father
46,47,father
47,48,father
48,49,father
49,50,father
50,51,father
51,52,father
52,53,father
53,54,father
54,55,spouse
55,56,father
56,57,father
57,58,father
58,59,father
59,60,father
0,61,father
61,62,father
62,63,father
63,64,father
64,65,father
0,66,spouse
66,67,father
67,68,spouse
68,69,father
69,70,father
0,71,father
71,72,father
72,73,father
73,74,father
74,75,father
0,76,creation
76,77,creation
77,78,creation
78,79,creation
79,80,creation
0,81,creation
81,82,creation
82,83,creation
83,84,creation
84,85,creation
85,86,creation
86,87,creation
87,88,creation
88,89,creation
89,90,spouse
0,91,father
70,0,father
91,92,father
92,93,father
93,94,father
94,95,spouse
0,96,mother
96,97,father
97,98,father
98,99,father
15,0,father
20,0,father
25,0,father
35,0,father
45,0,father
60,0,father
65,0,father
75,0,father
80,0,father
90,0,father
95,0,father
99,0,father
