id,typeName,Gender,color
0,A,M,#3399ff
1,B,F,#66ccff
2,C,M,#1affff
3,D,M,#ff3300
4,E,F,#ffb3b3
5,F,M,#ffff99
6,G,M,#eeee99
7,H,U,#df9fbf
8,I,U,#ce9fae
9,J,U,#00ff00
10,K,U,#4dffb8
11,L,U,#66ff66
12,M,U,#e6e6e8
13,N,U,#e6e6e9
14,O,U,#ffeeee
15,P,U,#ffddbb
16,Q,U,#ffbb99
17,R,U,#ff9977
18,S,U,#ff3300
19,T,U,#ff99ff
20,HUB,U,#FFFF00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,10 in number,
,,,
,,,
,,Briksha Samuha,
